scientific_name,presences,absences,presence_prop,absences_sp_thin,absences_tmp_thin,presence_prop_post_thin
Muscicapa dauurica,332,13909,0.023312969594831822,2408,2408,0.12116788321167883
Myophonus horsfieldii,2581,11661,0.18122454711416935,2299,2299,0.5288934426229508
Ocyceros griseus,812,13428,0.05702247191011236,2381,2381,0.254306295020357
Oriolus kundoo,998,13240,0.07009411434190195,2375,2375,0.2958790394307738
Oriolus xanthornus,619,13618,0.043478260869565216,2383,2383,0.2061958694203864
Orthotomus sutorius,2066,12174,0.14508426966292134,2333,2333,0.4696521936803819
Parus cinereus,622,13620,0.04367364134250808,2386,2386,0.20678191489361702
Passer domesticus,1926,12312,0.13527180783817952,2325,2325,0.45306986591390264
Pavo cristatus,1291,12947,0.09067284731001544,2376,2376,0.352058903736024
Pellorneum ruficeps,391,13848,0.027459793524826182,2415,2415,0.13934426229508196
Pericrocotus cinnamomeus,323,13918,0.02268099150340566,2423,2423,0.11762563729060452
Pericrocotus flammeus,1027,13213,0.07212078651685393,2348,2348,0.3042962962962963
Picus xanthopygaeus,361,13877,0.025354684646720044,2423,2423,0.12966954022988506
Pomatorhinus horsfieldii,1582,12657,0.11110330781656015,2331,2331,0.40429338103756707
Prinia hodgsonii,467,13772,0.032797246997682425,2421,2421,0.16170360110803325
Prinia socialis,568,13673,0.039884839547784566,2404,2404,0.1911170928667564
Psilopogon haemacephalus,1168,13071,0.08202823231968537,2364,2364,0.33069082672706684
Psilopogon malabaricus,1095,13145,0.07689606741573034,2385,2385,0.3146551724137931
Psilopogon viridis,6171,8069,0.4333567415730337,1794,1794,0.7747645951035782
Psittacula columboides,872,13364,0.06125316100028098,2322,2322,0.27301189730745146
Psittacula cyanocephala,1521,12718,0.10681929910808344,2357,2357,0.3922124806601341
Psittacula krameri,751,13489,0.05273876404494382,2390,2390,0.23909582935370902
Pycnonotus cafer,2215,12023,0.15556960247225735,2270,2270,0.4938684503901895
Pycnonotus jocosus,6743,7494,0.47362506145957717,1857,1857,0.7840697674418604
Pycnonotus luteolus,614,13624,0.04312403427447675,2404,2404,0.20344599072233266
Rubigula gularis,375,13863,0.026337968815844923,2411,2411,0.13460157932519742
Saxicola caprata,1314,12922,0.09230120820455184,2315,2315,0.3620832185174979
Sitta frontalis,553,13686,0.03883699698012501,2408,2408,0.1867612293144208
Streptopelia chinensis,4132,10108,0.2901685393258427,2256,2256,0.6468378209142142
Terpsiphone paradisi,445,13794,0.03125219467659246,2408,2408,0.15597616543988785
Treron affinis,348,13892,0.02443820224719101,2415,2415,0.1259500542888165
Turdoides subrufa,655,13584,0.046000421377905755,2409,2409,0.2137728459530026
Turdus simillimus,591,13650,0.041499894670318095,2393,2393,0.1980563002680965
Upupa epops,514,13727,0.036092970999227585,2397,2397,0.17657162487117828
Yungipicus nanus,258,13979,0.018121795322048183,2435,2435,0.09580393613070924
Zosterops palpebrosus,1968,12273,0.13819254265852118,2277,2277,0.4636042402826855
